==> training in progress with 100 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.0122 192.5973 1.901 0 92.40 100.00 92.22 100.00	
1 108.3255 130.1255 24.134 1 45.18 89.00 58.36 97.76	
2 75.2610 104.0924 46.426 2 36.36 80.00 54.03 95.96	
3 72.3153 142.7218 67.494 3 41.11 89.00 61.24 97.27	
4 66.1604 156.4511 88.703 4 41.66 88.00 59.99 97.47	
5 56.9608 122.1688 109.365 5 40.57 86.00 60.37 97.91	
6 51.6328 145.4560 130.605 6 43.28 92.00 60.57 97.30	
7 57.5491 156.4416 151.144 7 46.00 93.00 60.99 98.40	
8 61.2494 162.7789 171.711 8 51.02 93.00 60.52 97.41	
9 72.0334 144.2686 192.503 9 44.64 90.00 60.64 97.41	
10 55.2081 124.6921 212.650 10 43.01 90.00 58.84 97.00	
11 51.4612 130.7447 232.977 11 41.93 88.00 56.50 96.74	
12 62.2877 141.6921 253.221 12 45.05 96.00 63.71 98.34	
13 67.7852 136.4153 273.124 13 43.42 91.00 58.03 97.24	
14 59.0628 140.9722 293.516 14 43.55 86.00 61.25 97.62	
15 61.7227 153.2494 313.638 15 44.10 97.00 62.09 98.60	
16 74.2156 211.3568 333.450 16 52.10 96.00 67.13 98.49	
17 61.6055 146.9789 353.314 17 46.27 90.00 62.12 97.76	
18 70.3721 138.7645 373.214 18 42.61 93.00 62.34 98.66	
19 69.6698 141.5466 393.168 19 43.55 93.00 61.20 97.76	
20 70.8707 147.6364 412.938 20 47.35 93.00 61.51 98.72	
21 65.1941 142.9287 432.926 21 43.42 89.00 60.28 98.17	
22 81.6509 153.6766 452.920 22 43.01 92.00 59.58 96.60	
23 83.0141 134.9031 472.916 23 42.06 90.00 62.12 98.23	
24 74.1541 159.7293 492.831 24 46.54 92.00 61.47 97.35	
25 88.8907 176.4434 512.642 25 49.53 95.00 64.98 98.92	
26 70.8619 112.7040 532.307 26 38.81 88.00 52.94 96.45	
27 66.2610 144.0567 551.988 27 43.83 93.00 59.07 97.73	
28 81.3054 180.1299 571.748 28 50.75 95.00 62.39 98.78	
29 76.2058 158.1596 591.534 29 45.86 92.00 62.49 98.37	
30 63.8555 141.1117 611.282 30 44.50 97.00 62.84 97.59	
31 65.9711 163.6339 631.258 31 51.29 96.00 65.52 98.17	
32 60.6626 162.0016 650.932 32 45.45 93.00 62.11 98.58	
33 64.6818 132.0258 670.619 33 41.25 90.00 57.87 97.15	
34 62.0220 127.6586 690.302 34 39.21 91.00 58.76 97.62	
35 78.3333 167.6517 710.034 35 47.22 94.00 64.78 98.66	
36 74.1565 132.1034 729.869 36 43.15 93.00 59.70 97.50	
37 91.7029 193.1937 749.540 37 54.14 97.00 68.45 98.75	
38 65.8524 159.3109 769.400 38 46.54 97.00 66.65 98.72	
39 66.8684 142.9142 790.241 39 41.38 88.00 58.81 96.34	
40 81.5163 163.3416 809.816 40 46.40 97.00 59.63 98.43	
41 79.9826 149.1555 829.804 41 43.15 85.00 58.92 97.94	
42 74.6753 147.2647 849.493 42 48.17 91.00 61.14 98.34	
43 65.1618 141.9161 869.440 43 42.33 89.00 57.60 96.86	
44 65.0804 140.3593 889.212 44 44.37 91.00 57.92 97.82	
45 85.9304 205.0544 909.025 45 59.97 100.00 73.30 99.59	
46 64.2466 121.0187 928.760 46 39.08 92.00 58.79 98.11	
47 62.6588 151.9588 948.610 47 41.93 89.00 58.36 96.95	
48 109.6813 200.8393 968.321 48 54.82 96.00 69.85 99.04	
49 78.4581 147.6270 988.095 49 43.42 91.00 59.36 98.20	
<SAG-NUS> 	reached max number of iterations	
